requerente,count
magalhaes,126
elisangela,120
Elisangela,118
obete,78
Robercio,68
Magalhaes,59
robercio,39
Fernanda,37
Viviane,34
Policial,31
Obete,30
Roberto,28
fernanda,27
viviane,24
Jean,22
mayara,19
William,18
Thiago,18
rayane,16
paulo,15
priscila,13
douglas,12
sara,11
beatriz,11
Welton,10
rogerio,10
leandro,10
Beatriz,10
Douglas,9
Rayane,9
rarisson,8
Elaine,8
roberto,8
gomes,8
Ronaldo,7
cetep,7
Wilker,7
Paulo,7
hamilton,6
paiva,6
Priscila,6
fabio,6
juliana,6
Guilherme,5
Rogerio,5
Veronica,5
gabriel,5
iris,5
Rosangela,5
wilker,5
rodrigo,5
william,4
cotic,4
Duvale,4
angelita,4
rosangela,4
Rarisson,4
levi,4
Anderson,3
miguel,3
Lais,3
Nara,3
Policial Gore,3
lidiane,3
monitoramento,3
ronaldo,3
marcio,2
Fabio,2
silvana,2
assis,2
Gean,2
manoel,2
Gomes,2
Samilla,2
claude,2
elaine,2
michele,2
David,2
Moreira,2
Reginaldo,2
wesley,2
Cristiano,2
Cetec,2
lais,2
Policial Q1,2
magalhaes2,2
Dyego,2
Lidiane,2
stefhani,2
reginaldo,1
ribeiro,1
anderson,1
hives,1
gloria,1
guilherme,1
bia,1
nara,1
christyan,1
jose,1
pompeu,1
azevedo,1
thyago,1
jair,1
Wesley,1
williams,1
batista,1
Teixeira,1
medica,1
Victor Teixeira,1
Michele,1
Dovale,1
dovale,1
Belém,1
José,1
Dentista,1
Policial PAD,1
Clesivaldo,1
Janderson,1
Policial pad,1
Cicero,1
OAB,1
recepcao,1
Marli,1
Policial visor,1
Marcos Veras,1
Georgina,1
Claude,1
Fábio,1
Ivan,1
Iris,1
Senna,1
Cleuton,1
Christian,1
Márcio,1
Daiany,1
Giliarde,1
Samilha,1
Leandro,1
Paiva,1
Teltronic,1
Rogério,1
Maria marques,1
Marcos,1
nonato,1
